ProductID,ProductName,Category,Price
1,Call 865,OTHER,124.91
2,Truth 306,OTHER,916.64
3,Management 741,FURNITURE,673.73
4,Team 470,FURNITURE,689.27
5,Perhaps 594,ELECTRONICS,883.4
6,Few 937,HOME APPLIANCES,898.91
7,Head 154,FURNITURE,528.73
8,Term 882,HOME APPLIANCES,518.55
9,Teach 594,ELECTRONICS,22.67
10,Argue 623,HOME APPLIANCES,409.58
11,Huge 306,HOME APPLIANCES,964.0
12,Common 356,ELECTRONICS,817.22
13,Conference 136,OTHER,0.00
14,Day 386,ELECTRONICS,639.23
15,Word 494,HOME APPLIANCES,204.82
16,Cultural 881,HOME APPLIANCES,203.87
17,Someone 398,HOME APPLIANCES,518.43
18,Stock 114,FURNITURE,117.79
19,Yes 930,OTHER,298.61
20,Hope 991,HOME APPLIANCES,479.28
21,Have 216,FURNITURE,675.13
22,Wish 535,FURNITURE,494.05
23,Try 457,OTHER,161.34
24,Concern 341,OTHER,12.3
25,Blue 151,FURNITURE,788.68
26,Practice 791,FURNITURE,957.82
27,Reflect 908,HOME APPLIANCES,347.54
28,International 111,OTHER,758.39
29,Part 149,FURNITURE,71.23
30,Health 689,ELECTRONICS,447.02
31,Heavy 967,HOME APPLIANCES,248.79
32,Economy 700,FURNITURE,224.07
33,Him 877,OTHER,196.99
34,College 264,FURNITURE,584.79
35,Himself 995,OTHER,239.8
36,Prevent 533,HOME APPLIANCES,102.22
37,Chair 398,ELECTRONICS,672.55
38,Thing 304,FURNITURE,536.58
39,Perform 730,FURNITURE,0.00
40,Away 433,OTHER,0.00
41,With 619,FURNITURE,959.16
42,Return 293,ELECTRONICS,77.7
43,Agency 666,FURNITURE,498.61
44,Behind 877,ELECTRONICS,664.35
45,Everything 672,HOME APPLIANCES,142.66
46,Community 876,FURNITURE,852.86
47,Human 421,HOME APPLIANCES,477.99
48,Responsibility 393,OTHER,749.8
49,Information 447,ELECTRONICS,75.86
50,Party 519,ELECTRONICS,404.07
51,Job 590,HOME APPLIANCES,225.93
52,Level 729,FURNITURE,721.84
53,Read 389,FURNITURE,751.48
54,Onto 545,OTHER,649.78
55,Thank 530,FURNITURE,74.01
56,Go 525,HOME APPLIANCES,355.2
57,Just 606,ELECTRONICS,465.54
58,Range 563,FURNITURE,923.34
59,Ready 593,ELECTRONICS,495.21
60,Tv 445,OTHER,749.29
61,Through 976,FURNITURE,538.6
62,Plant 392,OTHER,781.28
63,Almost 963,HOME APPLIANCES,828.72
64,Behind 770,HOME APPLIANCES,845.59
65,Land 473,HOME APPLIANCES,50.73
66,She 312,OTHER,846.51
67,Authority 617,FURNITURE,134.41
68,Cost 656,HOME APPLIANCES,985.55
69,Under 926,OTHER,968.31
70,Strong 214,FURNITURE,698.88
71,West 627,HOME APPLIANCES,480.68
72,There 372,HOME APPLIANCES,677.92
73,Able 558,HOME APPLIANCES,892.01
74,Agree 427,HOME APPLIANCES,427.46
75,State 186,ELECTRONICS,913.25
76,Picture 726,HOME APPLIANCES,212.59
77,Small 508,ELECTRONICS,174.67
78,Century 589,HOME APPLIANCES,823.93
79,Particularly 901,OTHER,135.44
80,Recognize 961,OTHER,913.02
81,Describe 379,OTHER,0.00
82,Away 305,HOME APPLIANCES,772.81
83,Team 443,ELECTRONICS,407.01
84,Many 665,OTHER,0.00
85,As 419,FURNITURE,88.64
86,Another 980,FURNITURE,90.91
87,Space 447,FURNITURE,930.06
88,View 804,FURNITURE,751.74
89,Standard 456,FURNITURE,98.86
90,Other 928,FURNITURE,411.83
91,Treat 534,FURNITURE,424.88
92,Contain 957,HOME APPLIANCES,919.14
93,Of 271,HOME APPLIANCES,872.02
94,Write 855,FURNITURE,74.15
95,Student 548,ELECTRONICS,897.05
96,Loss 388,FURNITURE,984.42
97,Example 117,OTHER,0.00
98,Million 591,ELECTRONICS,905.1
99,Range 358,FURNITURE,517.71
100,Claim 365,ELECTRONICS,710.85
101,Effort 295,ELECTRONICS,56.82
102,Always 781,OTHER,705.62
103,Represent 463,ELECTRONICS,724.14
104,Politics 854,HOME APPLIANCES,458.15
105,Newspaper 480,FURNITURE,976.46
106,Site 576,FURNITURE,752.93
107,Skin 389,FURNITURE,0.00
108,Them 185,ELECTRONICS,0.00
109,Need 773,OTHER,690.06
110,Century 262,FURNITURE,643.03
111,Interview 695,FURNITURE,538.86
112,Choice 275,ELECTRONICS,775.51
113,Picture 253,OTHER,587.3
114,Truth 957,ELECTRONICS,0.00
115,Environment 493,ELECTRONICS,531.12
116,Think 755,FURNITURE,82.91
117,Card 235,OTHER,219.49
118,Pretty 625,ELECTRONICS,363.42
119,Control 110,HOME APPLIANCES,670.88
120,Executive 124,ELECTRONICS,422.63
121,Lead 442,ELECTRONICS,133.0
122,Clearly 121,ELECTRONICS,0.00
123,Government 813,ELECTRONICS,776.14
124,Actually 275,HOME APPLIANCES,43.67
125,Difference 574,HOME APPLIANCES,225.04
126,Enter 380,ELECTRONICS,522.81
127,Whether 530,OTHER,830.8
128,Eat 497,OTHER,898.86
129,Effect 600,FURNITURE,300.02
130,Officer 200,FURNITURE,0.00
131,Capital 428,ELECTRONICS,0.00
132,Traditional 743,HOME APPLIANCES,151.45
133,Heavy 586,OTHER,299.04
134,Admit 830,OTHER,436.5
135,Audience 670,ELECTRONICS,425.56
136,No 886,OTHER,93.33
137,Sell 111,FURNITURE,416.39
138,Wait 115,FURNITURE,632.96
139,Others 561,FURNITURE,481.96
140,Power 671,FURNITURE,615.36
141,Government 496,FURNITURE,749.17
142,Alone 512,HOME APPLIANCES,608.18
143,Board 620,FURNITURE,95.07
144,Go 408,FURNITURE,624.82
145,Building 366,OTHER,453.14
146,Stage 937,HOME APPLIANCES,885.86
147,Nice 488,ELECTRONICS,396.29
148,Five 632,ELECTRONICS,0.00
149,Else 386,ELECTRONICS,196.72
150,Across 533,ELECTRONICS,0.00
