SaleID,CustomerID,ProductID,SaleDate,Quantity
1,150,75,3/31/2025,16
2,66,46,12/5/2024,0
3,77,132,3/25/2025,0
4,130,107,10/23/2024,20
5,129,30,11/20/2024,25
6,145,11,1/1/1900,47
7,143,66,5/4/2025,0
8,153,36,12/10/2024,46
9,37,3,2/21/2025,0
10,87,26,2/28/2025,12
11,44,142,6/11/2025,18
12,27,87,3/8/2025,0
13,51,125,4/20/2025,18
14,141,29,10/28/2024,0
15,113,137,11/30/2024,15
16,51,146,10/7/2024,30
17,5,45,1/22/2025,18
18,136,93,7/31/2025,0
19,115,116,2/15/2025,0
20,132,113,8/24/2025,0
21,135,141,3/26/2025,0
22,150,73,2/17/2025,0
23,112,152,6/21/2025,0
24,79,36,5/12/2025,9
25,93,131,12/29/2024,50
26,107,12,3/21/2025,5
27,38,78,10/11/2024,25
28,44,100,7/7/2025,0
29,119,70,2/14/2025,0
30,18,60,9/28/2024,0
31,132,66,8/2/2025,29
32,127,123,9/30/2024,13
33,112,9,4/15/2025,0
34,26,57,10/13/2024,10
35,71,21,6/28/2025,0
36,152,2,1/1/2025,20
37,119,146,7/24/2025,49
38,101,8,11/27/2024,23
39,132,20,8/16/2025,11
40,67,9,1/25/2025,14
41,134,41,11/22/2024,0
42,131,115,12/24/2024,0
43,113,116,1/23/2025,14
44,153,137,3/19/2025,0
45,13,49,6/9/2025,10
46,128,83,6/11/2025,18
47,122,17,1/1/1900,0
48,121,24,12/8/2024,0
49,46,137,1/1/1900,0
50,70,121,7/12/2025,48
51,142,38,3/26/2025,7
52,41,80,1/1/1900,0
53,71,122,5/6/2025,0
54,133,127,4/27/2025,0
55,103,84,1/17/2025,37
56,149,16,9/27/2024,37
57,32,145,11/1/2024,50
58,7,139,6/14/2025,15
59,65,92,11/30/2024,0
60,111,12,3/20/2025,0
61,151,47,9/7/2024,18
62,54,87,9/1/2025,0
63,2,138,8/3/2025,15
64,93,133,3/27/2025,34
65,26,2,8/30/2025,12
66,99,144,1/1/1900,10
67,79,105,5/22/2025,8
68,78,126,1/1/1900,8
69,82,145,9/2/2025,0
70,125,85,1/6/2025,9
71,82,18,8/10/2025,6
72,159,24,8/25/2025,7
73,91,159,9/5/2025,0
74,122,7,3/7/2025,25
75,147,125,5/25/2025,0
76,130,107,1/22/2025,35
77,15,21,12/2/2024,44
78,87,145,8/13/2025,0
79,2,7,8/19/2025,19
80,56,159,3/15/2025,0
81,106,104,4/25/2025,28
82,92,12,4/2/2025,11
83,111,49,5/22/2025,7
84,147,42,2/18/2025,26
85,121,140,11/5/2024,0
86,67,50,3/23/2025,35
87,129,4,9/16/2024,12
88,114,82,9/4/2025,48
89,107,93,11/10/2024,29
90,131,43,6/15/2025,18
91,120,110,11/16/2024,7
92,55,154,4/21/2025,0
93,83,120,1/1/1900,1
94,68,144,5/17/2025,18
95,141,18,7/12/2025,0
96,74,6,9/15/2024,8
97,123,56,2/3/2025,19
98,124,139,6/23/2025,14
99,33,94,11/28/2024,0
100,106,26,4/23/2025,0
101,47,13,3/16/2025,0
102,119,62,5/22/2025,0
103,107,78,6/28/2025,0
104,36,150,11/3/2024,15
105,124,75,7/24/2025,0
106,45,29,1/1/1900,3
107,17,133,2/9/2025,0
108,47,137,3/7/2025,0
109,60,14,11/30/2024,18
110,19,118,8/19/2025,3
111,118,131,1/3/2025,0
112,34,4,5/13/2025,15
113,62,132,9/7/2024,0
114,68,7,8/13/2025,0
115,116,48,2/19/2025,11
116,62,34,10/5/2024,1
117,85,142,1/20/2025,0
118,33,80,10/28/2024,0
119,26,49,11/18/2024,16
120,96,38,1/1/1900,0
121,86,26,11/3/2024,43
122,109,51,8/12/2025,0
123,29,3,4/24/2025,17
124,134,59,8/11/2025,2
125,95,74,9/17/2024,0
126,52,22,8/4/2025,0
127,52,118,3/8/2025,21
128,124,127,12/16/2024,0
129,34,118,4/30/2025,15
130,156,138,5/28/2025,38
131,8,14,11/25/2024,10
132,92,74,12/12/2024,0
133,55,82,4/30/2025,3
134,125,122,6/6/2025,6
135,77,65,8/28/2025,44
136,56,29,10/27/2024,0
137,120,98,8/25/2025,0
138,142,138,3/22/2025,14
139,47,155,9/16/2024,6
140,12,108,6/17/2025,0
141,149,101,10/12/2024,18
142,133,94,4/23/2025,5
143,63,71,7/31/2025,33
144,65,88,9/21/2024,40
145,141,67,12/20/2024,0
146,139,66,3/9/2025,23
147,128,47,12/17/2024,0
148,143,85,4/21/2025,0
149,119,158,4/28/2025,0
150,104,90,9/17/2024,0
