Region,FullDate1,TotalSales,Textbox106,Textbox108
AK,1/5/2023 12:00:00 AM,$647.00,Total for AK,"$294,040.00"
AK,1/8/2023 12:00:00 AM,"$1,608.00",Total for AK,"$294,040.00"
AK,1/11/2023 12:00:00 AM,$244.00,Total for AK,"$294,040.00"
AK,1/20/2023 12:00:00 AM,$157.00,Total for AK,"$294,040.00"
AK,1/24/2023 12:00:00 AM,$44.00,Total for AK,"$294,040.00"
AK,1/25/2023 12:00:00 AM,$472.00,Total for AK,"$294,040.00"
AK,1/27/2023 12:00:00 AM,$216.00,Total for AK,"$294,040.00"
AK,1/29/2023 12:00:00 AM,"$19,790.00",Total for AK,"$294,040.00"
AK,1/30/2023 12:00:00 AM,$17.00,Total for AK,"$294,040.00"
AK,2/1/2023 12:00:00 AM,$50.00,Total for AK,"$294,040.00"
AK,2/4/2023 12:00:00 AM,"$1,677.00",Total for AK,"$294,040.00"
AK,2/11/2023 12:00:00 AM,$180.00,Total for AK,"$294,040.00"
AK,2/20/2023 12:00:00 AM,"$4,830.00",Total for AK,"$294,040.00"
AK,2/21/2023 12:00:00 AM,$55.00,Total for AK,"$294,040.00"
AK,2/25/2023 12:00:00 AM,$848.00,Total for AK,"$294,040.00"
AK,3/27/2023 12:00:00 AM,"$3,951.00",Total for AK,"$294,040.00"
AK,3/30/2023 12:00:00 AM,"$1,753.00",Total for AK,"$294,040.00"
AK,4/5/2023 12:00:00 AM,"$1,828.00",Total for AK,"$294,040.00"
AK,4/18/2023 12:00:00 AM,$17.00,Total for AK,"$294,040.00"
AK,4/20/2023 12:00:00 AM,"$1,830.00",Total for AK,"$294,040.00"
AK,4/21/2023 12:00:00 AM,"$1,054.00",Total for AK,"$294,040.00"
AK,5/3/2023 12:00:00 AM,"$1,071.00",Total for AK,"$294,040.00"
AK,5/9/2023 12:00:00 AM,$88.00,Total for AK,"$294,040.00"
AK,5/12/2023 12:00:00 AM,"$1,592.00",Total for AK,"$294,040.00"
AK,5/14/2023 12:00:00 AM,$156.00,Total for AK,"$294,040.00"
AK,5/17/2023 12:00:00 AM,"$2,892.00",Total for AK,"$294,040.00"
AK,5/29/2023 12:00:00 AM,"$10,413.00",Total for AK,"$294,040.00"
AK,5/30/2023 12:00:00 AM,"$1,749.00",Total for AK,"$294,040.00"
AK,5/31/2023 12:00:00 AM,"$1,281.00",Total for AK,"$294,040.00"
AK,6/10/2023 12:00:00 AM,$87.00,Total for AK,"$294,040.00"
AK,6/20/2023 12:00:00 AM,$40.00,Total for AK,"$294,040.00"
AK,7/1/2023 12:00:00 AM,$111.00,Total for AK,"$294,040.00"
AK,7/12/2023 12:00:00 AM,"$10,028.00",Total for AK,"$294,040.00"
AK,7/13/2023 12:00:00 AM,$426.00,Total for AK,"$294,040.00"
AK,7/14/2023 12:00:00 AM,"$4,173.00",Total for AK,"$294,040.00"
AK,7/15/2023 12:00:00 AM,$36.00,Total for AK,"$294,040.00"
AK,7/16/2023 12:00:00 AM,"$3,750.00",Total for AK,"$294,040.00"
AK,7/27/2023 12:00:00 AM,$16.00,Total for AK,"$294,040.00"
AK,7/31/2023 12:00:00 AM,"$1,134.00",Total for AK,"$294,040.00"
AK,8/6/2023 12:00:00 AM,"$6,206.00",Total for AK,"$294,040.00"
AK,8/11/2023 12:00:00 AM,"$2,144.00",Total for AK,"$294,040.00"
AK,8/20/2023 12:00:00 AM,$948.00,Total for AK,"$294,040.00"
AK,8/23/2023 12:00:00 AM,$9.00,Total for AK,"$294,040.00"
AK,9/3/2023 12:00:00 AM,"$1,977.00",Total for AK,"$294,040.00"
AK,9/10/2023 12:00:00 AM,"$4,270.00",Total for AK,"$294,040.00"
AK,9/20/2023 12:00:00 AM,"$2,716.00",Total for AK,"$294,040.00"
AK,9/24/2023 12:00:00 AM,"$2,721.00",Total for AK,"$294,040.00"
AK,9/26/2023 12:00:00 AM,"$3,483.00",Total for AK,"$294,040.00"
AK,10/1/2023 12:00:00 AM,"$5,274.00",Total for AK,"$294,040.00"
AK,10/5/2023 12:00:00 AM,$644.00,Total for AK,"$294,040.00"
AK,10/14/2023 12:00:00 AM,"$1,644.00",Total for AK,"$294,040.00"
AK,11/17/2023 12:00:00 AM,$51.00,Total for AK,"$294,040.00"
AK,12/4/2023 12:00:00 AM,$42.00,Total for AK,"$294,040.00"
AK,12/9/2023 12:00:00 AM,$354.00,Total for AK,"$294,040.00"
AK,12/11/2023 12:00:00 AM,$417.00,Total for AK,"$294,040.00"
AK,12/22/2023 12:00:00 AM,"$2,006.00",Total for AK,"$294,040.00"
AK,12/26/2023 12:00:00 AM,$546.00,Total for AK,"$294,040.00"
AK,12/27/2023 12:00:00 AM,$592.00,Total for AK,"$294,040.00"
AK,1/4/2024 12:00:00 AM,$514.00,Total for AK,"$294,040.00"
AK,1/7/2024 12:00:00 AM,$323.00,Total for AK,"$294,040.00"
AK,1/21/2024 12:00:00 AM,$100.00,Total for AK,"$294,040.00"
AK,1/24/2024 12:00:00 AM,$600.00,Total for AK,"$294,040.00"
AK,1/28/2024 12:00:00 AM,$284.00,Total for AK,"$294,040.00"
AK,2/18/2024 12:00:00 AM,"$3,384.00",Total for AK,"$294,040.00"
AK,2/27/2024 12:00:00 AM,$458.00,Total for AK,"$294,040.00"
AK,3/9/2024 12:00:00 AM,"$6,118.00",Total for AK,"$294,040.00"
AK,3/12/2024 12:00:00 AM,$462.00,Total for AK,"$294,040.00"
AK,3/18/2024 12:00:00 AM,$796.00,Total for AK,"$294,040.00"
AK,3/19/2024 12:00:00 AM,$204.00,Total for AK,"$294,040.00"
AK,3/20/2024 12:00:00 AM,"$1,336.00",Total for AK,"$294,040.00"
AK,3/26/2024 12:00:00 AM,"$2,168.00",Total for AK,"$294,040.00"
AK,4/3/2024 12:00:00 AM,$384.00,Total for AK,"$294,040.00"
AK,4/4/2024 12:00:00 AM,"$5,280.00",Total for AK,"$294,040.00"
AK,4/10/2024 12:00:00 AM,"$1,216.00",Total for AK,"$294,040.00"
AK,4/11/2024 12:00:00 AM,$180.00,Total for AK,"$294,040.00"
AK,4/14/2024 12:00:00 AM,$187.00,Total for AK,"$294,040.00"
AK,4/18/2024 12:00:00 AM,"$1,317.00",Total for AK,"$294,040.00"
AK,4/21/2024 12:00:00 AM,$982.00,Total for AK,"$294,040.00"
AK,4/26/2024 12:00:00 AM,"$2,488.00",Total for AK,"$294,040.00"
AK,4/28/2024 12:00:00 AM,$800.00,Total for AK,"$294,040.00"
AK,4/29/2024 12:00:00 AM,$404.00,Total for AK,"$294,040.00"
AK,4/30/2024 12:00:00 AM,$60.00,Total for AK,"$294,040.00"
AK,5/4/2024 12:00:00 AM,$98.00,Total for AK,"$294,040.00"
AK,5/11/2024 12:00:00 AM,$22.00,Total for AK,"$294,040.00"
AK,5/13/2024 12:00:00 AM,$884.00,Total for AK,"$294,040.00"
AK,5/22/2024 12:00:00 AM,$953.00,Total for AK,"$294,040.00"
AK,5/25/2024 12:00:00 AM,$355.00,Total for AK,"$294,040.00"
AK,5/26/2024 12:00:00 AM,"$2,565.00",Total for AK,"$294,040.00"
AK,6/4/2024 12:00:00 AM,$344.00,Total for AK,"$294,040.00"
AK,6/8/2024 12:00:00 AM,$501.00,Total for AK,"$294,040.00"
AK,6/9/2024 12:00:00 AM,$704.00,Total for AK,"$294,040.00"
AK,6/24/2024 12:00:00 AM,$43.00,Total for AK,"$294,040.00"
AK,6/28/2024 12:00:00 AM,"$5,421.00",Total for AK,"$294,040.00"
AK,7/10/2024 12:00:00 AM,$90.00,Total for AK,"$294,040.00"
AK,7/14/2024 12:00:00 AM,"$1,702.00",Total for AK,"$294,040.00"
AK,7/15/2024 12:00:00 AM,$170.00,Total for AK,"$294,040.00"
AK,7/22/2024 12:00:00 AM,$196.00,Total for AK,"$294,040.00"
AK,7/25/2024 12:00:00 AM,$22.00,Total for AK,"$294,040.00"
AK,7/31/2024 12:00:00 AM,$865.00,Total for AK,"$294,040.00"
AK,8/1/2024 12:00:00 AM,"$1,878.00",Total for AK,"$294,040.00"
AK,8/3/2024 12:00:00 AM,$534.00,Total for AK,"$294,040.00"
AK,8/6/2024 12:00:00 AM,"$7,424.00",Total for AK,"$294,040.00"
AK,8/7/2024 12:00:00 AM,$13.00,Total for AK,"$294,040.00"
AK,8/14/2024 12:00:00 AM,$790.00,Total for AK,"$294,040.00"
AK,8/15/2024 12:00:00 AM,"$9,873.00",Total for AK,"$294,040.00"
AK,8/18/2024 12:00:00 AM,"$1,524.00",Total for AK,"$294,040.00"
AK,8/23/2024 12:00:00 AM,"$1,844.00",Total for AK,"$294,040.00"
AK,8/24/2024 12:00:00 AM,"$1,491.00",Total for AK,"$294,040.00"
AK,8/27/2024 12:00:00 AM,"$1,261.00",Total for AK,"$294,040.00"
AK,8/28/2024 12:00:00 AM,"$3,390.00",Total for AK,"$294,040.00"
AK,9/19/2024 12:00:00 AM,$92.00,Total for AK,"$294,040.00"
AK,9/20/2024 12:00:00 AM,$132.00,Total for AK,"$294,040.00"
AK,9/21/2024 12:00:00 AM,"$1,134.00",Total for AK,"$294,040.00"
AK,9/30/2024 12:00:00 AM,$483.00,Total for AK,"$294,040.00"
AK,10/9/2024 12:00:00 AM,$74.00,Total for AK,"$294,040.00"
AK,10/23/2024 12:00:00 AM,"$3,430.00",Total for AK,"$294,040.00"
AK,11/1/2024 12:00:00 AM,$288.00,Total for AK,"$294,040.00"
AK,11/13/2024 12:00:00 AM,"$1,776.00",Total for AK,"$294,040.00"
AK,11/15/2024 12:00:00 AM,$517.00,Total for AK,"$294,040.00"
AK,12/3/2024 12:00:00 AM,$65.00,Total for AK,"$294,040.00"
AK,12/10/2024 12:00:00 AM,$342.00,Total for AK,"$294,040.00"
AK,12/14/2024 12:00:00 AM,$294.00,Total for AK,"$294,040.00"
AK,12/18/2024 12:00:00 AM,$668.00,Total for AK,"$294,040.00"
AK,1/4/2025 12:00:00 AM,"$2,330.00",Total for AK,"$294,040.00"
AK,1/12/2025 12:00:00 AM,"$3,759.00",Total for AK,"$294,040.00"
